ID,WT,N_mass,N_perc,d15N,C_mass,C_perc,d13C,C:N
SA637,2.97,28.07809244,0.945390318,2.520828543,1178.261629,39.67210873,-33.33424979,41.96373496
SA639,3.27,58.17360158,1.779009223,1.944556999,1299.544524,39.74142276,-34.06634173,22.3390763
UR616,2.94,74.77182934,2.543259501,3.711546243,1226.319339,41.71154214,-34.93849632,16.40082034
UR618,2.41,57.32275433,2.378537524,5.683002578,956.9122477,39.7059024,-33.770387,16.69341013
UR623,2.71,92.20967992,3.402571215,6.571222232,1168.451132,43.11627794,-33.92803069,12.6716754
UR624,3.23,61.06631422,1.890597963,4.338676813,1373.479292,42.52257869,-33.77164927,22.49160293
UR630,2.88,44.82803839,1.556529111,5.154896407,1197.887342,41.59331048,-33.67886508,26.72183269
UR633,2.95,54.77456876,1.856765043,7.355804771,1232.176965,41.76871069,-34.28933196,22.49542065
UR634,2.5,61.728174,2.46912696,5.012467385,1080.373087,43.21492347,-32.05843904,17.50210668
UR638,2.85,48.73788282,1.710101152,4.635617126,1303.090215,45.72246367,-33.65547018,26.73670129
UR639,2.38,46.128719,1.938181471,4.667505477,967.0635884,40.63292388,-32.15533422,20.96445792
UR643,2.89,67.20367982,2.325386845,5.303967991,1196.138436,41.38887322,-33.65640184,17.79870447
UR646,2.44,49.54454543,2.030514157,6.047054331,1030.06381,42.21572993,-33.11486789,20.79066023
PL636,3.3,56.92947337,1.725135557,1.975826626,1417.068702,42.94147582,-34.11633531,24.89165309
PL630,2.23,36.91353411,1.655315431,1.794316695,967.5786704,43.38917804,-33.39913321,26.21203019
PL629,2.4,29.03617615,1.209840673,3.080759438,1032.473794,43.01974143,-32.54703761,35.55818745
PL628,3.01,50.29411881,1.670900957,5.205027381,1306.903611,43.41872463,-33.70599801,25.9852174
PL625,3.55,20.67561891,0.5824118,4.698223166,1482.900105,41.77183395,-33.62962978,71.72216279
PL624,2.78,23.43075349,0.842832859,3.246512137,1223.588981,44.01399213,-33.1781258,52.22149523
PL621,2.47,32.62796455,1.320970225,5.56174607,1116.06987,45.18501499,-33.26209382,34.20592996
PL620,3.18,61.6826821,1.939706984,4.610349995,1654.498661,52.02825978,-34.04776093,26.82274189
PL617,3.23,49.55196281,1.534116496,2.39871719,1402.745496,43.42865312,-33.41243717,28.30857581
PL612,3.53,72.58550536,2.056246611,1.62745259,1533.227562,43.43420856,-32.92466031,21.12305418
PL609,2.53,33.37617534,1.319216417,2.443902598,1097.025854,43.3607057,-32.78783424,32.86853101
PL607,2.74,20.42164331,0.745315449,3.413830925,1209.884873,44.15638221,-32.65557829,59.24522597
UR680,3.35,72.56891665,2.166236318,7.235091991,1442.800179,43.06866207,-33.06381036,19.881793
UR673,3.27,62.50326152,1.911414726,5.946474559,1388.515966,42.46226196,-31.63415718,22.21509618
UR670,2.7,55.61747818,2.059906599,8.559859203,1169.716945,43.3228498,-31.56464881,21.03146318
UR669,2.39,47.23080644,1.97618437,4.629901022,1024.489156,42.86565508,-31.71765549,21.6911214
UR668,3.65,61.2136742,1.677086964,5.918001282,1566.972752,42.93076032,-32.1159687,25.59841036
