plot,replicate,treatment,sp1,sp2
644,7,mix,AC,SA
645,7,mix,AC,FE
646,7,mix,PL,UR
647,8,split,AC,SA
648,8,mix,AC,FE
649,8,split,AC,FE
650,8,mix,PL,UR
651,8,mix,PL,SA
652,8,mix,FE,UR
653,8,mix,SA,UR
654,8,split,AC,UR
655,8,mix,FE,SA
656,8,mix,AC,SA
657,8,split,FE,SA
658,8,bare,NA,NA
659,8,mix,AC,PL
660,8,split,PL,SA
661,8,mix,AC,UR
662,8,split,FE,UR
663,8,mix,FE,PL
664,8,split,PL,UR
665,8,split,FE,PL
666,8,split,SA,UR
667,8,split,AC,PL
668,9,mix,FE,UR
669,9,split,SA,UR
670,9,mix,PL,UR
671,9,split,FE,SA
672,9,split,FE,PL
673,9,split,AC,UR
674,9,mix,AC,PL
675,9,mix,FE,SA
676,9,split,PL,SA
677,9,split,AC,PL
678,9,mix,AC,FE
679,9,split,AC,SA
680,9,split,FE,UR
681,9,mix,AC,SA
682,9,split,PL,UR
683,9,mix,SA,UR
684,9,mix,AC,UR
685,9,mix,FE,PL
686,9,split,AC,FE
687,9,mix,PL,SA
688,9,bare,NA,NA
689,10,split,SA,UR
690,10,split,PL,UR
691,10,mix,AC,SA
692,10,split,FE,SA
693,10,mix,FE,SA
694,10,mix,FE,UR
695,10,split,AC,UR
696,10,mix,FE,PL
697,10,split,FE,PL
698,10,mix,AC,PL
699,10,bare,NA,NA
700,10,split,FE,UR
701,10,mix,PL,UR
702,10,mix,PL,SA
703,10,split,PL,SA
704,10,mix,AC,FE
705,10,mix,SA,UR
706,10,split,AC,PL
707,10,split,AC,FE
708,10,split,AC,SA
709,10,mix,AC,UR
710,11,mix,AC,SA
711,11,mix,AC,FE
712,11,split,AC,FE
713,11,split,AC,UR
714,11,mix,PL,SA
715,11,split,FE,PL
716,11,mix,AC,PL
717,11,split,PL,UR
718,11,split,AC,SA
719,11,mix,SA,UR
720,11,mix,FE,PL
721,11,mix,PL,UR
722,11,bare,NA,NA
723,11,mix,AC,UR
724,11,mix,FE,UR
725,11,split,FE,SA
726,11,mix,FE,SA
727,11,split,SA,UR
728,11,split,PL,SA
729,11,split,AC,PL
730,11,split,FE,UR
731,12,mix,FE,PL
732,12,split,AC,FE
733,12,mix,PL,UR
734,12,mix,SA,UR
735,12,bare,NA,NA
736,12,split,PL,UR
737,12,split,AC,SA
738,12,mix,AC,UR
739,12,mix,AC,PL
740,12,mix,AC,FE
741,12,split,FE,UR
742,12,split,AC,PL
743,12,split,AC,UR
744,12,mix,FE,UR
745,12,split,FE,SA
746,12,mix,PL,SA
747,12,split,PL,SA
748,12,mix,AC,SA
749,12,split,FE,PL
750,12,mix,FE,SA
751,12,split,SA,UR
752,13,split,AC,SA
753,13,split,AC,FE
754,13,mix,SA,UR
755,13,mix,AC,PL
756,13,split,SA,UR
757,13,mix,AC,SA
758,13,mix,AC,FE
759,13,bare,NA,NA
760,13,mix,PL,UR
761,13,mix,FE,PL
762,13,split,PL,SA
763,13,split,AC,UR
764,13,split,FE,UR
765,13,split,FE,SA
766,13,mix,PL,SA
767,13,mix,AC,UR
768,13,mix,FE,SA
769,13,split,AC,PL
770,13,split,PL,UR
771,13,mix,FE,UR
772,13,split,FE,PL
773,14,split,PL,SA
774,14,mix,SA,UR
775,14,split,FE,SA
776,14,split,AC,FE
777,14,mix,AC,PL
778,14,mix,PL,SA
779,14,split,FE,UR
780,14,mix,FE,PL
781,14,bare,NA,NA
782,14,mix,AC,UR
783,14,split,SA,UR
784,14,split,AC,SA
785,14,split,AC,PL
786,14,split,PL,UR
787,14,mix,FE,SA
788,14,mix,AC,FE
789,14,mix,AC,SA
790,14,mix,FE,UR
791,14,mix,PL,UR
792,14,split,FE,PL
793,14,split,AC,UR
794,15,split,AC,FE
795,15,mix,PL,SA
796,15,mix,AC,FE
797,15,mix,FE,SA
798,15,split,PL,SA
799,15,split,FE,SA
800,15,split,SA,UR
801,15,split,FE,PL
802,15,split,FE,UR
803,15,mix,FE,PL
804,15,mix,AC,PL
805,15,split,AC,PL
806,15,split,AC,SA
807,15,bare,NA,NA
808,15,mix,FE,UR
809,15,split,AC,UR
810,15,mix,AC,SA
811,15,mix,PL,UR
812,15,split,PL,UR
813,15,mix,SA,UR
814,15,mix,AC,UR
